DATAFLOW,LAST UPDATE,freq,animals,month,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,DE,2016,12466.59,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,DE,2017,12281.20,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,DE,2018,11949.09,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,DE,2019,11639.53,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,DE,2020,11301.86,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,DE,2021,11039.66,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,DK,2013,1583.00,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,DK,2014,1553.00,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,DK,2015,1566.00,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,DK,2016,1554.00,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,DK,2017,1558.00,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,DK,2018,1530.00,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,DK,2019,1500.00,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,DK,2020,1500.00,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,DK,2021,1480.00,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EE,2013,261.40,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EE,2014,264.70,
